control : -2.3582915802005893 , a_p : 10.249607181549074 1.1496071815490723
control : -5.164722778373637 , a_p : 11.23730297088623 2.0373029708862305
control : 3.7273443945284903 , a_p : 9.41353997886181 0.11353997886180878
control : 2.3508154911506587 , a_p : 11.180101776123049 1.7801017761230469
control : 6.554433602290395 , a_p : 8.989533841609955 -0.5104661583900452
control : 5.3387751796085965 , a_p : 9.66787957251072 0.0678795725107193
control : 5.6749625363175795 , a_p : 8.583704781532287 -1.1162952184677124
control : 1.674299559255406 , a_p : 9.947472590208054 0.1474725902080536
control : 4.610264075054491 , a_p : 8.32571020126343 -1.5742897987365723
control : -0.03873294240068148 , a_p : 9.977930439636111 -0.02206956036388874
control : 1.7604047890885361 , a_p : 8.628169989585878 -1.4718300104141235
control : -1.8680120459232867 , a_p : 10.271933679282665 0.07193367928266525
control : -1.859106614960119 , a_p : 9.793476748466492 -0.5065232515335083
control : -5.0368646041394385 , a_p : 11.599001312255862 1.1990013122558594
control : -0.5665542602233771 , a_p : 9.949551045894623 -0.5504489541053772
control : -2.0520462498620198 , a_p : 11.932951188087465 1.3329511880874634
control : 0.3343484364311706 , a_p : 10.85330870449543 0.15330870449543
control : -0.3307682018805629 , a_p : 11.994902181625367 1.1949021816253662
control : 3.0225515155162554 , a_p : 10.932395895570519 0.032395895570516586
control : 1.2390533649676385 , a_p : 11.972319304943085 0.9723193049430847
control : 4.576403262135585 , a_p : 10.328394567966463 -0.7716054320335388
control : 2.045214931514316 , a_p : 11.561233621835711 0.3612336218357086
control : 0.131200575790686 , a_p : 11.699626970291138 0.3996269702911377
control : 5.0178285895487065 , a_p : 10.415551626682284 -0.9844483733177185
control : 1.9693282388752529 , a_p : 11.270566776394844 -0.22943322360515594
control : 2.3881022125821723 , a_p : 10.367004966735841 -1.2329950332641602
control : -0.54933078740887 , a_p : 11.689437214098874 -0.010562785901129246
control : 0.22308206810420828 , a_p : 11.032740759849549 -0.7672592401504517
control : -1.2920798273276297 , a_p : 12.004321397840979 0.10432139784097672
control : -4.130334779564016 , a_p : 12.701468110084534 0.7014681100845337
control : 0.30799808126645445 , a_p : 11.47708216905594 -0.6229178309440613
control : -1.470418976877646 , a_p : 13.178350520133975 0.9783505201339722
control : -2.117710662708447 , a_p : 13.212115752696992 0.912115752696991
control : 2.722918526778596 , a_p : 12.341697325557472 -0.05830267444252968
control : 2.93976616404958 , a_p : 12.515655517578125 0.015655517578125
control : 5.113052914504998 , a_p : 11.778318023681642 -0.8216819763183594
control : 0.9529932766550964 , a_p : 12.903147664666179 0.20314766466617584
control : 1.1380752993529413 , a_p : 12.682040329277516 -0.11795967072248459
control : 3.4276807736046138 , a_p : 12.286944413185122 -0.6130555868148804
control : -1.481820824184183 , a_p : 13.736715853214264 0.7367158532142639
control : 0.20058773208230818 , a_p : 13.061938425898553 -0.03806157410144806
control : 2.4919267956348747 , a_p : 13.073452261090281 -0.12654773890972137
control : 0.042954389703965035 , a_p : 13.75783829689026 0.4578382968902588
control : 2.8686903998606113 , a_p : 12.704188191890719 -0.6958118081092834
control : -0.04681593982672538 , a_p : 13.888511627912521 0.38851162791252136
control : 2.11253285782157 , a_p : 12.98710767030716 -0.6128923296928406
control : 0.5813485016051594 , a_p : 13.650573142617944 -0.0494268573820591
control : 2.498890239192164 , a_p : 13.317075896263123 -0.48292410373687744
control : -0.6286800828059782 , a_p : 14.342875772714617 0.44287577271461487
control : 1.7532954555176943 , a_p : 13.95647881180048 -0.04352118819952011
control : -0.9794950900140371 , a_p : 15.134964919090272 1.034964919090271
control : 0.6158515369730821 , a_p : 14.956862401962283 0.7568624019622803
control : 6.190512310440674 , a_p : 13.816891658306123 -0.4831083416938782
control : 3.024151182325376 , a_p : 14.570956254005434 0.17095625400543213
control : 4.560107830371301 , a_p : 13.863270819187164 -0.6367291808128357
control : 1.7612920940075938 , a_p : 14.772024622559549 0.17202462255954742
control : 1.6346151153206634 , a_p : 14.860432741045955 0.16043274104595184
control : 5.2509416702419145 , a_p : 13.955429005622864 -0.8445709943771362
control : 1.0791982006120548 , a_p : 15.168024384975435 0.26802438497543335
control : 3.906616455768315 , a_p : 13.930559515953064 -1.069440484046936
control : 0.8391671513479793 , a_p : 15.028393840789796 -0.07160615921020508
control : 2.7889955607805277 , a_p : 14.303308737277987 -0.8966912627220154
control : -1.7960755148168062 , a_p : 15.982586371898652 0.6825863718986511
control : 1.988730998081273 , a_p : 14.809599483013155 -0.5904005169868469
control : -1.2147826475780263 , a_p : 16.401423811912537 0.9014238119125366
control : 2.1058242090408683 , a_p : 15.633348251134159 0.03334825113415718
control : -1.2929214106903366 , a_p : 17.456657242774966 1.7566572427749634
control : 3.1510965039817975 , a_p : 16.039003986120225 0.239003986120224
control : 2.674726499711298 , a_p : 16.797717952728274 0.8977179527282715
control : 20.591956078998606 , a_p : 4.821393132209778 -0.17860686779022217
control : 17.873221185034595 , a_p : 5.703226029872894 0.7032260298728943
control : 8.95698465805862 , a_p : 4.196551084518433 -0.8034489154815674
control : 1.8486084462278143 , a_p : 4.720841020345688 -0.27915897965431213
control : 3.217466354125847 , a_p : 3.8916128873825073 -1.1083871126174927
control : -0.7445447568523811 , a_p : 4.72079935669899 -0.27920064330101013
control : 2.386220954866161 , a_p : 3.374665379524231 -1.625334620475769
control : -4.410797504249416 , a_p : 5.432045429944992 0.43204542994499207
control : -1.1837391475208392 , a_p : 4.415982186794281 -0.584017813205719
control : -3.7473222130623416 , a_p : 5.741984665393829 0.7419846653938293
control : -0.41158543330529085 , a_p : 4.418309450149536 -0.5816905498504639
control : -2.9037906263432713 , a_p : 5.780913174152374 0.7809131741523743
control : -0.014227509741452593 , a_p : 5.372810900211334 0.37281090021133423
control : -1.891421272987003 , a_p : 6.513582229614258 1.5135822296142578
control : 0.31466720742438525 , a_p : 6.1353408098220825 1.1353408098220825
control : 6.485743925017658 , a_p : 4.977286024019122 -0.022713975980877876
control : 1.253538847253889 , a_p : 5.584661900997162 0.5846619009971619
control : -0.35706377387183963 , a_p : 4.13174170255661 -0.8682582974433899
control : -7.090806070087836 , a_p : 4.8002723306417465 -0.19972766935825348
control : 2.2846590892654133 , a_p : 3.9396194219589233 -1.0603805780410767
control : 4.964876753235254 , a_p : 4.6562584936618805 -0.3437415063381195
control : 7.403859918308257 , a_p : 3.7007346153259277 -1.2992653846740723
control : 5.046257271188912 , a_p : 4.662999331951141 -0.33700066804885864
control : 6.957911737194738 , a_p : 4.3824209570884705 -0.6175790429115295
control : 3.38140470291604 , a_p : 5.29917785525322 0.2991778552532196
control : 6.017362801920148 , a_p : 5.119577988982201 0.11957798898220062
control : 2.6539201351142703 , a_p : 6.157981038093567 1.157981038093567
control : 6.254709245418612 , a_p : 5.249107509851456 0.2491075098514557
control : 3.9761148181785 , a_p : 5.828977108001709 0.828977108001709
control : 7.619901446451983 , a_p : 4.902716599404812 -0.09728340059518814
control : 3.195293444687909 , a_p : 6.001686215400696 1.0016862154006958
control : 7.7997685955167775 , a_p : 4.341710865497589 -0.6582891345024109
control : 3.6024361202628583 , a_p : 5.208989709615707 0.2089897096157074
control : 6.675850167569212 , a_p : 4.323256969451904 -0.6767430305480957
control : 1.3720355209084882 , a_p : 5.774240970611572 0.7742409706115723
control : 5.033124907802264 , a_p : 4.34865790605545 -0.6513420939445496
control : 1.5952686971113472 , a_p : 5.171136856079102 0.17113685607910156
control : 3.8239656091536496 , a_p : 4.249504029750824 -0.750495970249176
control : 0.6509230032199298 , a_p : 4.822643876075745 -0.17735612392425537
control : 3.38642216527448 , a_p : 4.3017964363098145 -0.6982035636901855
control : -0.9522063514616157 , a_p : 5.337877571582794 0.3378775715827942
control : 3.3013171723053016 , a_p : 4.205455124378204 -0.7945448756217957
control : -2.9107142154650614 , a_p : 6.45409631729126 1.4540963172912598
control : 1.5391546161475578 , a_p : 5.429667830467224 0.4296678304672241
