control : -2.1258562322723407 , a_p : 14.297493666410446 -0.20250633358955383
control : -1.7296035778209955 , a_p : 14.765843337774278 0.16584333777427673
control : -0.9866490225228866 , a_p : 14.640665584057572 -0.059334415942430496
control : 0.047357539938627013 , a_p : 14.764013047516347 -0.03598695248365402
control : -0.6786363658635501 , a_p : 15.640656912326815 0.7406569123268127
control : 0.1760902903347592 , a_p : 15.55645352602005 0.55645352602005
control : 2.260207310260629 , a_p : 14.874475380778314 -0.22552461922168732
control : 1.9346639436664823 , a_p : 15.601420772075656 0.4014207720756531
control : 1.9897828094795642 , a_p : 15.14703566133976 -0.15296433866024017
control : 1.9042734287984615 , a_p : 15.54839753508568 0.1483975350856781
control : 2.0300975106969865 , a_p : 15.478617871180177 -0.021382128819823265
control : 2.2137943770894246 , a_p : 15.409951171278955 -0.19004882872104645
control : 1.5848038267117666 , a_p : 15.727157954871657 0.02715795487165451
control : 0.5364737090159117 , a_p : 15.998850423097611 0.19885042309761047
control : 1.4051832869512282 , a_p : 15.62859984636307 -0.2714001536369324
control : 0.5952658408822664 , a_p : 16.009993106126785 0.009993106126785278
control : 11.408088497284773 , a_p : 4.707330286502838 -0.29266971349716187
control : 10.592223950647682 , a_p : 5.269334495067596 0.26933449506759644
control : 2.3832534967149144 , a_p : 4.990925959311426 -0.009074040688574314
control : -2.924208869353528 , a_p : 5.055766019970179 0.055766019970178604
control : -2.9099526701020793 , a_p : 4.7456642389297485 -0.25433576107025146
control : -4.261952234897986 , a_p : 4.902484029531479 -0.09751597046852112
control : -5.11588939836572 , a_p : 4.79340948164463 -0.20659051835536957
control : -6.362532682397431 , a_p : 5.629431962966919 0.629431962966919
control : -3.837565320208949 , a_p : 4.713998436927795 -0.2860015630722046
control : -2.610120893626359 , a_p : 4.688156336545944 -0.3118436634540558
control : -2.714479585768446 , a_p : 4.689493030309677 -0.3105069696903229
control : -3.4423192295142453 , a_p : 4.770916506648064 -0.22908349335193634
control : -3.2104841742012056 , a_p : 5.053347151726484 0.0533471517264843
control : -2.3782094765491255 , a_p : 5.115977592766285 0.11597759276628494
control : -1.1560297005506932 , a_p : 5.071624934673309 0.07162493467330933
control : -2.3881606778471447 , a_p : 5.672747850418091 0.6727478504180908
control : -4.359891509746227 , a_p : 6.143985748291016 1.1439857482910156
control : -7.440175329618805 , a_p : 5.82453715801239 0.8245371580123901
control : 15.772755476710003 , a_p : 4.946221228688955 -0.05377877131104469
control : 4.798603800384864 , a_p : 4.532802999019623 -0.4671970009803772
control : 4.9682401970303065 , a_p : 4.010525584220886 -0.9894744157791138
control : 4.231700642666692 , a_p : 4.280725479125977 -0.7192745208740234
control : 4.066286339419224 , a_p : 4.102306485176086 -0.8976935148239136
control : 2.622461001866644 , a_p : 4.6027714014053345 -0.3972285985946655
control : 2.5477313836572417 , a_p : 4.624510496854782 -0.3754895031452179
control : 1.6337548387492342 , a_p : 5.01484705042094 0.014847050420939922
control : 1.486058731006902 , a_p : 5.12398985773325 0.12398985773324966
control : 1.1089308482663638 , a_p : 5.633289098739624 0.633289098739624
control : 1.608725533096523 , a_p : 5.312809646129608 0.31280964612960815
control : 1.378309622101261 , a_p : 6.191431045532227 1.1914310455322266
control : 2.0682285754797274 , a_p : 5.177443444728851 0.17744344472885132
control : 2.589064884998029 , a_p : 5.658397376537323 0.658397376537323
control : 2.1076643697612507 , a_p : 4.854915797710419 -0.1450842022895813
control : 1.125503640010848 , a_p : 4.560947358608246 -0.43905264139175415
control : 0.6521566784634487 , a_p : 4.5864978432655334 -0.41350215673446655
control : 0.2476507577835747 , a_p : 4.283202111721039 -0.7167978882789612
control : 0.10367313431660641 , a_p : 4.027962028980255 -0.9720379710197449
control : -2.7350678898598835 , a_p : 4.883331023156643 -0.11666897684335709
control : -3.7184567197674685 , a_p : 4.86531575024128 -0.1346842497587204
control : -2.855404075569705 , a_p : 5.021877640858293 0.02187764085829258
control : -2.7807182184556023 , a_p : 5.432664513587952 0.43266451358795166
control : -1.3850489206636825 , a_p : 5.285408824682236 0.2854088246822357
control : 0.23563428243722395 , a_p : 5.1325512528419495 0.13255125284194946
control : 0.9570736895426188 , a_p : 4.9176415130496025 -0.08235848695039749
control : 1.7967433780983049 , a_p : 5.196593701839447 0.19659370183944702
control : 1.5735683742036315 , a_p : 5.518731474876404 0.5187314748764038
control : 1.5619692468773012 , a_p : 5.580660939216614 0.5806609392166138
control : 3.3278259469251426 , a_p : 5.099219478666782 0.09921947866678238
control : 3.613495398391935 , a_p : 5.087190568447113 0.08719056844711304
control : 3.3317346966701438 , a_p : 4.795256406068802 -0.20474359393119812
control : 2.304239334585162 , a_p : 5.162791967391968 0.16279196739196777
control : 2.549203806587938 , a_p : 4.69882544875145 -0.3011745512485504
control : 2.5696602111557354 , a_p : 4.484411120414734 -0.5155888795852661
control : 1.1200685393288747 , a_p : 4.961826618760824 -0.038173381239175797
control : 0.7867226824991338 , a_p : 4.737797498703003 -0.26220250129699707
control : 0.6737062610792517 , a_p : 5.026035679504275 0.026035679504275322
control : 0.3098315879234299 , a_p : 4.856632575392723 -0.14336742460727692
control : 0.6330494722299012 , a_p : 4.588301628828049 -0.4116983711719513
control : -1.0449238750436258 , a_p : 4.996676781913266 -0.003323218086734414
control : -1.7038625175292461 , a_p : 4.960663057863712 -0.03933694213628769
control : -1.5602424203741876 , a_p : 5.058096129447222 0.058096129447221756
control : -2.052622135422502 , a_p : 5.173979997634888 0.1739799976348877
control : -1.1550835272679665 , a_p : 5.198861539363861 0.19886153936386108
control : -0.7024310628575554 , a_p : 5.560406446456909 0.5604064464569092
control : 0.6762027162299384 , a_p : 5.099067695438862 0.09906769543886185
control : 1.4587992254994102 , a_p : 5.340174645185471 0.3401746451854706
control : 2.0283460165944627 , a_p : 5.49350443482399 0.49350443482398987
control : 3.8301281514535725 , a_p : 4.647340685129166 -0.35265931487083435
control : 3.5584806326917366 , a_p : 5.1296418607234955 0.12964186072349548
control : 3.2431229258582546 , a_p : 5.053912054747343 0.05391205474734306
control : 3.237193094902752 , a_p : 4.93124071508646 -0.06875928491353989
control : 3.6308685249196335 , a_p : 4.7785555720329285 -0.22144442796707153
control : 3.2487696107493784 , a_p : 4.669493466615677 -0.3305065333843231
control : 3.2759198265711538 , a_p : 4.184138000011444 -0.8158619999885559
control : 2.109901508740153 , a_p : 4.844084441661835 -0.15591555833816528
control : 1.0843284443696888 , a_p : 5.060573160648346 0.06057316064834595
control : 0.9236622878164997 , a_p : 5.077127665281296 0.07712766528129578
control : 1.6750034357842676 , a_p : 4.881701365113258 -0.11829863488674164
control : 0.09831810686297615 , a_p : 5.851342797279358 0.8513427972793579
control : 1.8019581903568973 , a_p : 4.866889670491219 -0.13311032950878143
control : -0.015660353196636834 , a_p : 5.135620608925819 0.1356206089258194
control : -0.7977094299882914 , a_p : 5.320308238267899 0.32030823826789856
control : 0.08726881335723391 , a_p : 4.884174175560474 -0.1158258244395256
control : -1.290537217270785 , a_p : 4.820535629987717 -0.17946437001228333
control : 0.2501455930421983 , a_p : 4.387391567230225 -0.6126084327697754
control : -0.6904833575876839 , a_p : 4.988037166185677 -0.011962833814322948
control : -0.46101230044101804 , a_p : 5.009774194099009 0.009774194099009037
control : 0.09038279246210479 , a_p : 5.280060291290283 0.2800602912902832
control : 1.4439481356295367 , a_p : 4.679162681102753 -0.3208373188972473
control : 2.309286832936006 , a_p : 4.985228603705764 -0.014771396294236183
control : 2.1235954609264596 , a_p : 5.343466281890869 0.34346628189086914
control : 2.9525734445838783 , a_p : 4.995517589151859 -0.0044824108481407166
control : 1.7597866686772066 , a_p : 6.000811219215393 1.000811219215393
control : 5.20691894086212 , a_p : 4.857815638184547 -0.14218436181545258
control : 4.45438776918067 , a_p : 5.02710771933198 0.02710771933197975
control : 4.567857939080056 , a_p : 4.462917387485504 -0.5370826125144958
control : 3.0451486349458623 , a_p : 5.0353219620883465 0.03532196208834648
control : 2.423435563243755 , a_p : 4.813471898436546 -0.18652810156345367
control : 2.787084630025264 , a_p : 4.745869278907776 -0.2541307210922241
control : 1.9643196541972152 , a_p : 4.946600709110498 -0.05339929088950157
control : 1.85105520515374 , a_p : 4.8240253031253815 -0.17597469687461853
control : 0.9957764000272622 , a_p : 5.2140704691410065 0.21407046914100647
control : 1.416701565689971 , a_p : 4.924567833542824 -0.07543216645717621
control : 0.665958931832078 , a_p : 5.303388565778732 0.3033885657787323
control : 1.0164767099782122 , a_p : 4.839026927947998 -0.16097307205200195
control : 0.14681191728995024 , a_p : 5.2663655281066895 0.26636552810668945
control : -0.11908746454930252 , a_p : 5.015514106489718 0.01551410648971796
control : -0.1366265264963502 , a_p : 4.916866920888424 -0.08313307911157608
control : -1.1669383427423234 , a_p : 4.755368486046791 -0.24463151395320892
control : -2.2443794293262496 , a_p : 5.181716024875641 0.18171602487564087
control : -1.4882019231416623 , a_p : 4.7418422400951385 -0.25815775990486145
control : -0.3106066749957792 , a_p : 5.042710114270449 0.042710114270448685
control : 0.45631737911309767 , a_p : 4.603605270385742 -0.3963947296142578
control : 1.2860924040003656 , a_p : 4.8958400785923 -0.10415992140769958
control : 1.0479248807323414 , a_p : 5.566812217235565 0.5668122172355652
control : 1.8583254322893543 , a_p : 5.227061912417412 0.2270619124174118
control : 3.5604397151076297 , a_p : 4.850817918777466 -0.14918208122253418
control : 3.3108851920024733 , a_p : 5.378606915473938 0.378606915473938
